04.10.2013 10:14:37	Getting Robot Framework Results in the Email from Jenkins 	http://kevinormbrek.blogspot.ru/2012/08/getting-robot-framework-results-in.html	Пример составления шаблона письма-рассылки результатов тестирования Robot Framework в Jenkins	Статья на английском	Автоматизация тестирования, Groovy	@DmitriyZverev
04.10.2013 22:25:45	Полезные ссылки на статьи и обучение технологий и фреймворков	http://www.bentobox.io/	Все вокруг настолько быстро развивается, что нужно учиться быстрее и быстрее. А чтобы ускорить процесс обучения, bentobox.io собрал хорошие ссылки на статьи и обучающий материал в одном месте. А удобная фильтрация показывает, что можно еще посмотреть по смежной тематике. Рекомендую посмотреть.	Инструмент (приложение, проект, продукт)	Education	@polusok
04.10.2013 22:28:17	Как уменшить уровень логирования для SudsLibrary библиотеки с помощью Python в Robot Framework?	http://automated-testing.info/t/zametka-kak-umenshit-uroven-logirovaniya-dlya-sudslibrary-biblioteki-s-pomoshhyu-python-v-robot-framework/3488	Если вас что-то не устраивает в какой-то библиотеке, то не нужно мириться. Нужно просто взять и пофиксить. Михаил рассказывает, как можно посредством logging и decorator в python сделать небольшой хак в библиотеке SudsLibrary для RobotFramework.	Статья на русском (украинском, белорусском)	Автоматизация тестирования, Python	@polusok
07.10.2013 20:13:22	Fluent Selenium with an Angular Application	http://css.dzone.com/articles/fluent-selenium-angular	Технологии тестирования AngularJS с Selenium WebDriver 	Статья на английском	WebDriver	@dzhariy
07.10.2013 20:20:05	Android Screen Capture, Streaming and ScreenRecording tools for Mobile Testing	http://blog.eviltester.com/2013/10/android-screen-capture-streaming-and.html	Инструменты для снятия скриншотов и записи видео с платформы Android, для последуещего анализа, например, прохода автоматизации 	Статья на английском	Автоматизация тестирования	@dzhariy
07.10.2013 22:02:20	Курс: Creating an Automated Testing Framework With Selenium	http://www.pluralsight.com/training/Courses/TableOfContents/automated-testing-framework-selenium	Отличный курс по созданию своего первого фреймворка на базе Selenium WebDriver + .NET/C#. Это достаточно короткий курс базового уровня, тем не менее, в нем есть замечательные и правильные идеи по построению правильной архитектуры фреймворка для автоматизации тестирования. 	Видео	Автоматизация тестирования, C#, WebDriver, Web	@dzhariy
09.10.2013 0:47:53	Evolution of test automation frameworks – Master Chef’s choice: from spaghetti to cucumber	http://www.cognifide.com/blogs/quality-assurance/evolution-of-test-automation-frameworks-master-chefs-choice-from-spaghetti-to-cucumber/	Небольшой обзор существующих  подходов в автоматизации тестирования	Статья на английском	Автоматизация тестирования	@dzhariy
09.10.2013 14:20:27	(Видео) .NET Girl, для тех, кто изучает C# 	http://www.youtube.com/user/mindchemistrydotcom/videos	Девушка на ютубе рассказывает про… C#, потоки, Extension-методы… 	Видео	C#	@dzhariy
09.10.2013 19:40:37	Docker Selenium Grid	https://github.com/brady-vitrano/dsgrid	Создайте свое облако автоматизированого тестирования! Docker -- это бесплатный инструмент, для создания удобной облачной инфраструктуры	Инструмент (приложение, проект, продукт)	Автоматизация тестирования, Python, WebDriver, Web	@dzhariy
09.10.2013 20:37:51	Работа с TFS. Определение тест-кейсов, несвязанных с тестовыми методами.	http://positiveflower.blogspot.com/2013/10/tfs_9.html	Как получить нужную информацию из TFS прямо внутри авто-тестов 	Статья на русском (украинском, белорусском)	Автоматизация тестирования, Код, C#	@dzhariy
10.10.2013 1:43:41	Секреты тестирования интерфейсов в ТКС Банке	http://habrahabr.ru/company/tcsbank/blog/196632/	"Обзорная статья об улучшении процесса автоматизированного тестирования в известном банке: 
'Мы используем связку Grunt + Karma + PhantomJS +Jasmin + Sinon + CoffeeScript. Да, вы не ослышались CoffeeScript'"	Статья на русском (украинском, белорусском)	Автоматизация тестирования	@dzhariy
10.10.2013 2:18:10	You can't JavaScript under pressure!	http://toys.usvsth3m.com/javascript-under-pressure/	Я надеюсь, у вас сегодня тоже пятница? Тогда, давайте изучать JavaScript, играя	Развлечение		@dzhariy
10.10.2013 13:56:46	Адвентисты Седьмого Теста	http://theiced.livejournal.com/254704.html	Butthurt лютого программиста. Категория "юмор", но доля правды во всем этом естью	Статья на русском (украинском, белорусском)	Java	@davert
10.10.2013 15:21:09	Selenium Hangout 2 Recap	http://seleniumhq.wordpress.com/2013/10/09/selenium-hangout-2-recap/	Видео и стенограма с последней неформальной встречи разработчикво и пользователей Selenium	Видео	Автоматизация тестирования, WebDriver	@dzhariy
10.10.2013 15:33:43	Как релизится GitHub	http://habrahabr.ru/post/197026/	Цитата: GitHub не использует Selenium, но у них есть юнит-тесты, интеграционные и системные end-to-end тесты. Вообще за автоматизацию всей этой кухни отвечает отдельный отдел DevOps, так что разработчики могут сосредоточиться на фичах.	Статья на русском (украинском, белорусском)		@dzhariy
10.10.2013 16:28:17	Maintainable Automated UI Tests	http://net.tutsplus.com/tutorials/maintainable-automated-ui-tests/	Свежее руководство по улучшению поддержки UI автоматизации в .NET, с применением PageObjects на C#/.NET	Статья на английском	Автоматизация тестирования, C#, WebDriver	polusok
